class_filename,class_filepath,start_time,end_time,mid_time,exposure_s,temp_c,gain_ev_ch,sat_alt,sat_lat,sat_lon,bore_lat,bore_lon,solarang_deg,phaseang_deg,program,version,dataset,scd_fltr,scd_used,v0_lat,v0_lon,v1_lat,v1_lon,v2_lat,v2_lon,v3_lat,v3_lon,xsm_mean_meancounts,xsm_std_meancounts,xsm_min_meancounts,xsm_max_meancounts,xsm_mean_totalcounts,xsm_std_totalcounts,xsm_points_used
ch2_cla_l1_20250801T024725069_20250801T024733069.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T024725069_20250801T024733069.fits,2025-08-01T02:47:25.069,2025-08-01T02:47:33.069,2025-08-01T02:47:29.069,8.0,-39.6,13.5,111.909,-52.743,63.5067,-52.7369,63.5069,60.0669,60.0669,CLASS_add_scds.pro,2.1,420,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,",-52.0602,62.7892,-53.382,62.7038,-53.4086,64.2463,-52.0861,64.2876,1.7374267578125,0.0593438948992032,1.65283203125,1.82177734375,3558.25,121.53629675356837,8
ch2_cla_l1_20250801T024741069_20250801T024749069.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T024741069_20250801T024749069.fits,2025-08-01T02:47:41.069,2025-08-01T02:47:49.069,2025-08-01T02:47:45.069,8.0,-39.6,13.5,111.722,-53.5469,63.4658,-53.5408,63.466,60.7184,60.7184,CLASS_add_scds.pro,2.1,422,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,",-52.8645,62.7369,-54.1848,62.6481,-54.2118,64.2177,-52.8908,64.2603,1.73760986328125,0.0470200519601071,1.66796875,1.81982421875,3558.625,96.29706641429944,8
ch2_cla_l1_20250801T024749069_20250801T024757069.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T024749069_20250801T024757069.fits,2025-08-01T02:47:49.069,2025-08-01T02:47:57.069,2025-08-01T02:47:53.069,8.0,-39.6,13.5,111.628,-53.9488,63.4447,-53.9428,63.4449,61.045,61.045,CLASS_add_scds.pro,2.1,423,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,",-53.2667,62.7099,-54.5862,62.6194,-54.6135,64.2031,-53.2932,64.2463,1.73333740234375,0.082523220105564,1.61181640625,1.857421875,3549.875,169.00755477619506,8
ch2_cla_l1_20250801T024757069_20250801T024805069.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T024757069_20250801T024805069.fits,2025-08-01T02:47:57.069,2025-08-01T02:48:05.069,2025-08-01T02:48:01.069,8.0,-39.5,13.5,111.533,-54.3508,63.4233,-54.3448,63.4235,61.3721,61.3721,CLASS_add_scds.pro,2.1,424,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,",-53.669,62.6824,-54.9877,62.5901,-55.0153,64.1882,-53.6957,64.2322,1.73956298828125,0.0380250213068356,1.6865234375,1.7890625,3562.625,77.87524363639945,8
ch2_cla_l1_20250801T024805069_20250801T024813069.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T024805069_20250801T024813069.fits,2025-08-01T02:48:05.069,2025-08-01T02:48:13.069,2025-08-01T02:48:09.069,8.0,-39.5,13.5,111.437,-54.7529,63.4015,-54.7468,63.4017,61.6998,61.6998,CLASS_add_scds.pro,2.1,425,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,",-54.0713,62.6544,-55.3892,62.5602,-55.417,64.1732,-54.0982,64.2178,1.7384033203125,0.0568553443851543,1.66650390625,1.81591796875,3560.25,116.43974530079618,8
ch2_cla_l1_20250801T024813069_20250801T024821069.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T024813069_20250801T024821069.fits,2025-08-01T02:48:13.069,2025-08-01T02:48:21.069,2025-08-01T02:48:17.069,8.0,-39.5,13.5,111.341,-55.155,63.3792,-55.1489,63.3794,62.0281,62.0281,CLASS_add_scds.pro,2.1,426,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,",-54.4736,62.6259,-55.7908,62.5297,-55.8188,64.1578,-54.5008,64.2032,1.74578857421875,0.0306546169794319,1.701171875,1.78955078125,3575.375,62.78065557387653,8
ch2_cla_l1_20250801T025109069_20250801T025117069.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T025109069_20250801T025117069.fits,2025-08-01T02:51:09.069,2025-08-01T02:51:17.069,2025-08-01T02:51:13.069,8.0,-38.9,13.5,109.074,-64.0106,62.7446,-64.0052,62.7449,69.3692,69.3692,CLASS_add_scds.pro,2.1,448,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,",-63.334,61.803,-64.6326,61.6389,-64.6687,63.7316,-63.3686,63.8035,1.7171630859375,0.0872995025762919,1.59619140625,1.859375,3516.75,178.789381276246,8
ch2_cla_l1_20250801T025141069_20250801T025149069.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T025141069_20250801T025149069.fits,2025-08-01T02:51:41.069,2025-08-01T02:51:49.069,2025-08-01T02:51:45.069,8.0,-38.9,13.5,108.633,-65.6227,62.5859,-65.6168,62.5864,70.7248,70.7248,CLASS_add_scds.pro,2.1,452,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,",-64.9466,61.5958,-66.2415,61.4111,-66.2797,63.6273,-64.9831,63.7074,1.749267578125,0.0801287235341052,1.6171875,1.865234375,3582.5,164.10362579784763,8
ch2_cla_l1_20250801T025157069_20250801T025205069.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T025157069_20250801T025205069.fits,2025-08-01T02:51:57.069,2025-08-01T02:52:05.069,2025-08-01T02:52:01.069,8.0,-38.9,13.5,108.41,-66.4291,62.4991,-66.4233,62.4996,71.4046,71.4046,CLASS_add_scds.pro,2.1,454,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,",-65.7532,61.4826,-67.0461,61.2859,-67.0856,63.5706,-65.7908,63.6555,1.7421875,0.0519423984882033,1.65380859375,1.814453125,3568.0,106.37803210384048,8
ch2_cla_l1_20250801T025205069_20250801T025213069.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T025205069_20250801T025213069.fits,2025-08-01T02:52:05.069,2025-08-01T02:52:13.069,2025-08-01T02:52:09.069,8.0,-38.9,13.5,108.297,-66.8323,62.4536,-66.8253,62.4545,71.745,71.745,CLASS_add_scds.pro,2.1,455,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,",-66.1565,61.4233,-67.4478,61.2204,-67.4879,63.5411,-66.1946,63.6284,1.7158203125,0.0408099982163128,1.65380859375,1.77294921875,3514.0,83.5788763470087,8
ch2_cla_l1_20250801T025213069_20250801T025221069.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T025213069_20250801T025221069.fits,2025-08-01T02:52:13.069,2025-08-01T02:52:21.069,2025-08-01T02:52:17.069,8.0,-38.9,13.5,108.184,-67.2355,62.4067,-67.2299,62.4072,72.0857,72.0857,CLASS_add_scds.pro,2.1,456,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,",-66.5591,61.3623,-67.8506,61.1522,-67.8913,63.5104,-66.5978,63.6009,1.760498046875,0.0555427778778317,1.67626953125,1.849609375,3605.5,113.7516090937995,8
ch2_cla_l1_20250801T025229069_20250801T025237069.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T025229069_20250801T025237069.fits,2025-08-01T02:52:29.069,2025-08-01T02:52:37.069,2025-08-01T02:52:33.069,8.0,-38.9,13.5,107.957,-68.0421,62.308,-68.0363,62.3086,72.768,72.768,CLASS_add_scds.pro,2.1,458,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,",-67.3671,61.2329,-68.6561,61.0083,-68.6982,63.446,-67.407,63.542,1.78076171875,0.0554531758662921,1.6923828125,1.8564453125,3647.0,113.5681041741663,8
ch2_cla_l1_20250801T044506797_20250801T044514797.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T044506797_20250801T044514797.fits,2025-08-01T04:45:06.797,2025-08-01T04:45:14.797,2025-08-01T04:45:10.797,8.0,-37.6,13.5,112.525,-52.8131,62.4191,-52.8072,62.4192,60.1542,60.1542,CLASS_add_scds.pro,2.1,420,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,",-52.1279,61.697,-53.4543,61.61,-53.4815,63.1636,-52.1542,63.2059,1.7747802734375,0.0570425421776202,1.6943359375,1.85693359375,3634.75,116.82312637976634,8
ch2_cla_l1_20250801T044514797_20250801T044522797.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T044514797_20250801T044522797.fits,2025-08-01T04:45:14.797,2025-08-01T04:45:22.797,2025-08-01T04:45:18.797,8.0,-37.6,13.5,112.432,-53.2147,62.3985,-53.2088,62.3987,60.4793,60.4793,CLASS_add_scds.pro,2.1,421,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,",-52.5296,61.6707,-53.8554,61.582,-53.8828,63.1492,-52.5562,63.1921,1.76593017578125,0.0590569128621797,1.66650390625,1.83447265625,3616.625,120.94855754174404,8
ch2_cla_l1_20250801T044522797_20250801T044530797.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T044522797_20250801T044530797.fits,2025-08-01T04:45:22.797,2025-08-01T04:45:30.797,2025-08-01T04:45:26.797,8.0,-37.6,13.5,112.337,-53.6163,62.3774,-53.6106,62.3778,60.8049,60.8049,CLASS_add_scds.pro,2.1,422,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,",-52.9315,61.644,-54.2565,61.5534,-54.2842,63.1345,-52.9583,63.1782,1.7945556640625,0.0581261276393563,1.7021484375,1.87890625,3675.25,119.04230940540188,8
ch2_cla_l1_20250801T044530797_20250801T044538797.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T044530797_20250801T044538797.fits,2025-08-01T04:45:30.797,2025-08-01T04:45:38.797,2025-08-01T04:45:34.797,8.0,-37.6,13.5,112.243,-54.018,62.356,-54.0122,62.3563,61.1311,61.1311,CLASS_add_scds.pro,2.1,423,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,",-53.3334,61.6166,-54.6576,61.5243,-54.6855,63.1195,-53.3605,63.1639,1.77099609375,0.0589120123250295,1.68505859375,1.85009765625,3627.0,120.65180124166046,8
ch2_cla_l1_20250801T044538797_20250801T044546797.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T044538797_20250801T044546797.fits,2025-08-01T04:45:38.797,2025-08-01T04:45:46.797,2025-08-01T04:45:42.797,8.0,-37.6,13.5,112.147,-54.4198,62.3343,-54.414,62.3344,61.4579,61.4579,CLASS_add_scds.pro,2.1,424,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,",-53.7353,61.5888,-55.0589,61.4945,-55.087,63.1043,-53.7626,63.1495,1.779296875,0.0368154256038874,1.71923828125,1.82421875,3644.0,75.3979916367614,8
ch2_cla_l1_20250801T044546797_20250801T044554797.fits,/home/saurabh/moon_project/data/CLASS/ch2_cla_l1_2025_08/cla/data/calibrated/2025/08/01/ch2_cla_l1_20250801T044546797_20250801T044554797.fits,2025-08-01T04:45:46.797,2025-08-01T04:45:54.797,2025-08-01T04:45:50.797,8.0,-37.6,13.5,112.051,-54.8215,62.312,-54.8157,62.3122,61.7852,61.7852,CLASS_add_scds.pro,2.1,425,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,",-54.1374,61.5603,-55.4602,61.464,-55.4886,63.0888,-54.1649,63.1347,1.80841064453125,0.0637357012423321,1.7158203125,1.89111328125,3703.625,130.53071614429632,8
